"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00015121","2014","89","43","42.28","62.9"
"USC00015121","2015","85","45","47.70","65.9"
"USC00015121","2016","85","33","39.01","66.5"
"USC00015121","2017","85","41","57.97","66.4"
"USC00015121","2018",,,,
"USC00015121","2020",,,,"65.1"
"USC00015121","2021",,,,
"USC00015121","2022",,,"61.20",
"USC00126580","2014","79","35","50.35","50.4"
"USC00126580","2015","79","31","42.73","53.1"
"USC00126580","2016","81","37","50.96","55.0"
"USC00126580","2017",,,"40.86","54.4"
"USC00126580","2018",,,"55.15","53.2"
"USC00126580","2019",,,"56.90","53.4"
"USC00126580","2020",,,"53.86","53.7"
"USC00126580","2021",,,,
"USC00126580","2022",,,"47.48","52.6"
"USC00012096","2014",,,,
"USC00012096","2015","86","35","64.94","59.5"
"USC00012096","2016",,,,
"USC00012096","2017",,,"63.07",
"USC00012096","2018",,,,
"USC00012096","2022",,,"59.59","61.7"
"USC00011080","2014",,,"82.18","63.4"
"USC00011080","2015",,,"63.61",
"USC00011080","2016",,,"62.31","64.7"
"USC00011080","2018",,,,"66.3"
"USC00011080","2019",,,,"67.2"
"USC00011080","2020",,,,"66.7"
"USC00011080","2021",,,,"65.9"
"USC00011080","2022",,,,"65.6"
"USC00228374","2014","86","29","56.44","62.0"
"USC00228374","2015","89","29","59.44","64.6"
"USC00228374","2016","88","33","49.85","65.6"
"USC00228374","2017","87","30","58.06","65.1"
"USC00228374","2018",,,,
"USC00228374","2020",,,,
"USC00228374","2021",,,,
"USC00228374","2022","87","27","62.00","63.9"
"USC00130200","2014","72","0","39.87","47.1"
"USC00130200","2015",,,"44.58","50.6"
"USC00130200","2016","77","4","37.60","52.3"
"USC00130200","2017","78","3","29.76","51.6"
"USC00130200","2018","71","-3","49.79","49.1"
"USC00130200","2019",,,"36.13","48.2"
"USC00130200","2020",,,"23.07","50.6"
"USC00130200","2021",,,"24.72","52.1"
"USC00130200","2022",,,"35.42","49.8"
"USW00013722","2014",,,"55.28","59.6"
"USW00013722","2015",,,"57.11","61.8"
"USW00013722","2016",,,"51.26","62.4"
"USW00013722","2017",,,"45.56","62.7"
"USW00013722","2018",,,"60.30","61.3"
"USW00013722","2019",,,"42.99","62.4"
